skill_raw;observations;skill_normalized;possible_domains;possible_fields;type_of_skill;too_generic
Pipeline Operations;a pipeline could be both a real hydraulic pipeline and an informational one;Pipeline Operations;Hydraulic Engineering, Information Technology;Engineering, Information Technology;Hard;0
Data Room;most data rooms nowadays are just pieces of software, physical data rooms are extremely rare;Data Room;Data Management;Information Technology;Hard;0
WordPress;WordPress is a web development tool;WordPress;Web Development;Information Technology;Hard;0
job advertisements; this skill has two parts, marketing and HR;Recruitment Advertising;Recruitment, Advertising;Human Resources, Marketing;Soft;0
2ε;difficult skill to normalize, since 2ε is a version of LaTeX we will normalize it in that way;LaTeX;Markup Language;Information Technology;Hard;0
employment practices;the knowledge of labor law;Labor Law Knowledge;Labor Law;Human Resources;Soft;0
ability to lead and supervise a team of technicians; the ability to lead a team;Team Leadership;Team Management;Human Resources;Soft;0
SOP’s;SOP is an acronym, that probability stands for Standard Operating Procedures;Standard Operating Procedures;Business Management;Business Management;Soft;0
A&H;A&H is an acronym that stands for Allen & Heath, a company that produces audio mixing equipment;Mixing consoles;Audio Equipment;Miusic;Hard;0
Hilfsassistentin - Institute of Marketing and Business Management;Hilfsassistentin is a German word that stands for assistant;Assistant;Business Management;Business Management;Soft;0
Vendite;Vendite is an Italian word that stands for sales;Sales;Sales;Sales;Soft;0
Stochastic Modelling;Stochastic Modelling is a statistical skill;Stochastic Modelling;Statistics;Mathematics;Hard;0
plant startup and shutdown;this probably refers to experience in the startup and shutdown of industrial plants;Plant Startup and Shutdown;Plant Operations;Operations Management;Hard;0
patent offices;this skill probably refers to the knowledge of patent law;Patent Law;Intellectual Property and Copyright Law;Legal;0
results driven;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
Technical Report Writing;the ability to write technical reports is a form of comunication;Technical Report Writing;Written Communication;Communication;Soft;0
Patent Law;Patent Law is a legal skill;Patent Law;Intellectual Property and Copyright Law;Legal;0
professional ethics;too generic;Professional Ethics;Mental Skills;Personal Skills;Soft;1
written communication;this skill is a form of communication;Written Communication;Written Communication;Communication;Soft;0
computer software;too generic, but is related to informatics;Computer Software;Computer Skills;Information Technology;Hard;1
goal orientation;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
ReSharper;ReSharper is a visual studio extesion for software development;ReSharper;Software Development;Information Technology;Hard;0
63 Licenses;the Series 63 is a securities exam and license;Series 63;Financial Securities;Financial Services;Hard;0
lift 50 lbs. on a daily continuous basis;a physical skill;Physical Strenght;Physical Skills;Personal Skills;Hard;0
production supervisor;this is the ability to supervise a production line;Production Supervision;Production Management;Operations Management;Soft;0
asset protection;the ability to protect financial assets;Asset Protection;Financial Security;Financial Services;Soft;0
customer-first mindset;Prioritizazion
Contract Development;People Management
Electric Vehicles;Automotives
Full Face Mask Diving;Diving
ANSI SQL;SQL
voltage testers;Power Engineering
routine maintenance;Maintenance
emergency response plan implementation;Security Protocols
Documentation Testing;Software Development
data room management;Data Management
multi-disciplinary;Environmental Science
front containers;Operations Management
Testing;Test-Driven Development
Knowledge of mobile apps and online dashboards;Mobile Applications
Public Policy Analysis;Political Science
Financial Analysis;Financial Analysis
Proactive approach and initiative;Proactivity
CADDS5;CAD
Brand Equity;Brand Marketing
IT Systems Maintenance;IT Operations & Management
Web Software Development;Web Development
16/17th edition qualified;Electrical Wiring
riding on vehicles;Driver License Ability
Adobe Delphi;Adobe
time management skills;Time Management
Core Graphics;Graphic Design
Construction;Construction
Computational Efficiency;Algorithms
cogns;Cognos
Fashion Sales;Retail
retail business;Retail
retail business processes;Retail
modern curing standard improvement;Operations Management
risk identification;Test-Driven Development
requirements gathering;Procurement
consultative approach;Business Strategy
renewable energy contract negotiation;People Management
Site Management;Operations Management
quantity take-offs;Product Management
Statistical Software;Software Development
Willingness to Sell;Sales
use of electrical test equipment;Technician
Design Thinking;Product Design
Alljoyn;Software Development
healthcare benefits;Benefits Administration
water reuse system;Water Treatment Plant Maintenance
SAP Cloud Solutions;SAP
Business Architecture;Business Development
hard-working;Resilience
Informatics;Computer Science
Unigraphics NX;NX
site maintenance;Maintenance
intercompany contracts;People Management
ownership;Business Management
Basic mechanical knowledge to perform pre- and post-operation inspection of the vehicle in accordance with Company policy and report;Auditing
Maintenance Planning;Maintenance
Customer Relation;Customer Relationship Management
financial management;Financial Services
team mindset;Teamwork
Magnitude;Environmental Science
Power BI);Business Intelligence
Customer Billing;Accounting
HSE policies and procedures.;Sustainability
home office work;Flexibility
fluency in spoken and written English;English
Winery Management;Wine and Beverage Expertise
testing and troubleshooting of AC and DC circuits;Electrical Wiring
debt raising;Financial Services
Brandontwikkeling;Brand Marketing
hse unit;Sustainability
Digital Channel Management;IT Operations & Management
watch parts;Process Management
Bayesian Regression;Computer Science
trade marketing;Trading
roadmap;Operations Management
collaborative working;Teamwork
spill cleaning;Waste Management
Unix Shell;Software Development
Health Tracking;Healthcare and Medical Services
Security Operations Center (SOC);Security Protocols
environment policy;Workplace Policy Conduct
digital initiatives;Entrepreneurship
sap businessobjects;SAP
stakeholder relationship management;Economics
willingness to work a flexible schedule;Flexibility
Brand Asset Management;Brand Marketing
Elevator Technicians;Technician
contracts;People Management
feasibility studies;Business Analysis
User Stories;Software Development
SAP Certification;SAP
Corporate Application Integration;Project Management
Aerospace;Aerospace Engineering
Export Credits;International Trading
Website Branding;Brand Marketing
ACE Certified Personal Trainer;Physical Education
site construction;Construction
Android Wear;Android Development
roll-off driver;Waste Management
shop tools;Process Management
management accounts;Account Management
Search Marketing;Digital Marketing
Cost-Benefit Analysis;Benefits Administration
Reception- und Servicemitarbeiterin;Customer Support
Customer Plans Development;Customer Support
factoring;Corporate Finance
organization processes;Operations Management
COMAH Sites;Health and Safety
3D Home Architect;Graphic Design
IT Policy;IT Operations & Management
SAP Fleet Performance Management;SAP
Post Production;Process Management
deployment activities;Operational Deployment Process
5Y;Project Management
Central Bank of Ireland;Financial Services
productivity standards;Operations Management
Java Message Service (JMS);Java
software and hardware qualification;Computer Science
controlling;Quality Control
enterprise architect;Computer Science
Markup;Cost Analysis
service;Rigid Vehicles
Publix;Brand Marketing
ACD;Customer Support
local;Traveling
Oil and Gas Laboratory;Renewable Energy Development
repair and maintenance of plant equipment;Maintenance
Sponsorship Management;Marketing Management
print techniques;Graphic Design
functional and technical Business Analysis;Business Analysis
conductive adhesives;Electrical Wiring
Android Studio;Android Development
3D-Grafik;Graphic Design
interpersonal;Interpersonal Skills
retention initiatives;Business Strategy
water treatment plant;Water Treatment Plant Maintenance
plays;Environmental Science
digital insights;Digital Awareness
manpower planning;Operations Management
Reducing;Business Strategy
IT Business Strategy;Business Strategy
Integrated Brand Marketing;Brand Marketing
ArcGIS Administrator;ArcGIS
Commodities;Inventory Management
Retail Banking;Financial Services
P&L management;Financial Services
IVA;Tax Analyst
intercompany recharge model;Accounting
Wet Chemistry;Chemistry
cross-functional collaboration;Operations Management
press relations;Brand Marketing
company policy enforcement;Workplace Policy Conduct
DaMaWay;Business Development
market development;Market Research
API Gateways;APIs
facility and equipment inspections;Auditing
Siemens Software;Software Development
Tennis;Tennis
HR Consulting;People Management
OSHA regulations;Health and Safety
Modaris;Modaris
interpreting;Translation
fabric knowledge;Clothing Industry Process
Digital project management;Project Management
pleasant disposition;Good Attitude
upskilling;Training
strong attention to detail;Attention to Detail
Version Control;Software Development
Proforma Invoices;Accounting
corporate representation;Brand Marketing
SAP Portal;SAP
occupational health;Healthcare and Medical Services
3D-Texturen;Graphic Design
Recruitment Advertising;Talent Acquisition and Recruitment
Energy Carriers;Energy Management
Product Storytelling;Product Management
field engineering;Product Development
ability to identify potential strategic partners;Marketing Management
Luxury Product Management;Luxury Management
Configuration Management;Security Protocols
Coordinate Engineering;Engineering
Junior Strategy Consultant;Business Development
drilling;Construction
Spring;IDE
documentation management;Account Management
machine learning regression;Machine Learning
luxury retail operations;Luxury Management
willingness to travel up to 25% of the time and up to 10% outside assigned area;Flexibility
Lead Project Manager at Pro Web Consulting;Project Management
Microsoft Tableau;Tableau
styling;Fashion Styling and Personal Shopping
Parallel Computing;Computer Science
Excel;Microsoft Excel
Store Control;Maintenance
medium and high voltage power systems;Electrical Wiring
demand response programs;Electrical Wiring
trust;Work Ethic
Solidworks and PLM tools;SolidWorks
ability to influence without direct authority;Influencing Skills
12c;Database Administration
machine learning algorithms;Machine Learning
and multi-process calibration equipment;Power Engineering
brakes;Fleet Maintenance
technology proficiency;Tech Savvy
user training;Business Development
Pre-Investment and Investment Process;Financial Services
azure;Microsoft Azure
Instrument Verification;Quality Control
certification;Quality Control
Flow Chemistry;Chemistry
bilingualism (optional);Communication
Videography;Video Production
Soil Chemistry;Environmental Chemistry
trimming equipment;Maintenance
Sketch;Sketch
Swatches;Product Management
HR Compliance;HR Practices and Professional Standards
Outplacement;HR
Product Literature;Product Development
qualified traffic;Business Analysis
Pressure Equipment Repair;PPE Management
Capacity Management;Data Management
tools;Product Management
Participation Events;Event Planning
Carbon Black;Cybersecurity
DFT Calculations;Quantum Mechanics
progress updates;Reporting
Java RMI;Java
Web Analyst & Developer @ Pro Web Consulting;Data Analysis
Operating Models;Operations Management
crude and products markets fundamentals analytics;Product Marketing
fueling;Automotives
learning;Result Driven
Energy Law;Environmental and Regulatory Law
gas market;Fuel Distribution and Logistics
product ownership;Business Management
government bodies;Legal Counseling
MS application proficiency;Microsoft Office
Continuous Delivery;Delivery Process
climbing;Physical Endurance and Skills
allocation planning;Warehouse Management
International Treasury Management;Accounting
passion for the brand;Passionate
Ability to work independently and manage;Problem Solving
Keyword Research;Keyword Research
Visual Basic.NET;.NET
Digital Platform Development;Digital Marketing
digital passion;Tech Savvy
Corporate Guidelines;Corporate Governance
Consultant;Consultancy
audit management;Auditing
food manufacturing;Food Science
fluent in german and english;Communication
replenishment;Inventory Management
prioritization and time management;Prioritization Skills
performance measurement;Performance Analysis
results-driven mindset;Result Driven
MT Control;Electronics
Menu Engineering;Restaurant Industry Management
Pyomo;Python
Tape Backup;Backup Management
BOP;Accounting
Environmental Systems Engineering;Environmental Engineering
RxJava;Java
sales operations;Sales
700D;Photography
dynamodb;AWS
Intercompany Compliance;Workplace Policy Conduct
Functional Specifications;Software Development
Minitab;MiniTab
Strategic HR Management;People Management
general site vehicles and equipment operation;Automotives
Real Estate Appraisal;Sales
retail industry experience;Retail
stock balance;Inventory Management
Health and Safety;Health and Safety
Control Room Operations;Process Management
MS Office (Word, Excel, PowerPoint, Acess);Microsoft Office
Intercompany Communication;Communication
Hypothesis Testing;Process Management
contingency planning;Risk Management
process creation;Operations Management
Container Vehicle Inspection;Auditing
assisting;Customer Support
Fundraising;Budgeting
marketing tactics;Marketing
sales and marketing productivity;Sales
Test Management;Test-Driven Development
briefing documents;Communication
demand/supply balances;Business Planning
aws services;AWS
compliance analysis & assessment;Workplace Policy Conduct
Lubrication;Mechanical Engineering
comms;Communication
web leads;Sales
Concept Development;Concept Design
working at heights;Physical Endurance and Skills
jacket installation;Structural Engineering
Middle Eastern market;Market Research
Management of people with disabilities;People Management
retention bonus;Accounting
global integration;Business Development
Autodesk Autocad;Graphic Design
seismic surveys;Environmental Science
802.16e;Network Administration
Industrial Wastewater Management;Waste Management
International Business;Business Development
Jenkins;DevOps
product evaluation;Product Management
Transaction Management;Accounting
continuous improvement mindset;Resilience
product selection;Product Management
management reporting;Reporting
software configuration;Software Development
802.11g;Network Administration
Energy Engineering;Energy Management
installation;Computer Science
Customer Onboarding;Customer Relationship Management
Clothing;Apparel and Fashion Design
computerized;Digital Marketing
commercial business drivers;Driver License Ability
display;Advertising
software architect;Software Development
English communication skills;English
adherence to policies and rules;Workplace Policy Conduct
and other distributed energy resources (DERs);Power Engineering
German Law;Federal and State Law
RPA Developer;RPA Developer
sustainable world;Sustainability
patent applications;Intellectual Property and Copyright Law
trimming;Maintenance
customer journey planning;Customer Support
physical tools management;Manufacturing
Blogger Relations;Digital Marketing
production schedule;Process Management
Enterprise Software;Software Development
BIA/RA;Business Analysis
B Corp certification;Quality Control
computerized diagnostic and troubleshooting tools proficiency;Risk Management
